140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius_HP_EV 4 | Redni 1T | 20 kWh] delayed_pv_charge                1205.37 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Aktivni | 30 kWh] price_oracle                     1096.93 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 10 kWh] peak_shaving                      940.71 EUR  (   1.4 s)
  [Fluvius_HP_EV 3 | Redni 1T | 30 kWh] price_rank_daily                 2029.53 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 20 kWh] fixed_schedule                   1178.91 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Redni 1T | 20 kWh] price_threshold                  1205.37 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 10 kWh] self_consumption_peak_shaving     941.85 EUR  (   1.4 s)
  [Fluvius_HP_EV 3 | Redni 1T | 30 kWh] peak_shaving                     2019.24 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 20 kWh] delayed_pv_charge                1095.34 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Redni 1T | 20 kWh] price_rank_daily                 1205.37 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 10 kWh] price_oracle                      943.43 EUR  (   1.4 s)
  [Fluvius_HP_EV 3 | Redni 1T | 30 kWh] self_consumption_peak_shaving    2031.46 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 20 kWh] price_threshold                   883.35 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Redni 1T | 20 kWh] peak_shaving                     1195.63 EUR  (   1.4 s)
  [Fluvius_HP_EV 3 | Redni 1T | 30 kWh] price_oracle                     2029.53 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 20 kWh] price_rank_daily                  900.33 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Redni 1T | 20 kWh] self_consumption_peak_shaving    1195.85 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 20 kWh] peak_shaving                     1092.47 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Redni 1T | 20 kWh] price_oracle                     1205.37 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 20 kWh] self_consumption_peak_shaving    1092.71 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 20 kWh] price_oracle                      883.55 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Redni 2T | 30 kWh] milp_full_period                 1190.82 EUR  (  28.8 s)
[71/140] Fluvius_HP_EV_user_004_redni2t.csv (40 rows)  (1979s elapsed)
  [Fluvius_HP_EV 5 | Redni 2T | 5 kWh] milp_full_period                  963.59 EUR  (  25.8 s)
  [Fluvius_HP_EV 5 | Redni 2T | 10 kWh] no_battery                        987.52 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 10 kWh] self_consumption                  987.66 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 5 kWh] no_battery                        480.24 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 10 kWh] fixed_schedule                    972.90 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 5 kWh] self_consumption                  365.26 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 10 kWh] delayed_pv_charge                 987.66 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 5 kWh] fixed_schedule                    390.99 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 10 kWh] price_threshold                   967.82 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 5 kWh] delayed_pv_charge                 391.62 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 10 kWh] price_rank_daily                  967.47 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 5 kWh] price_threshold                   389.08 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 10 kWh] peak_shaving                      983.70 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 5 kWh] price_rank_daily                  348.92 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 10 kWh] self_consumption_peak_shaving     984.92 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 5 kWh] peak_shaving                      465.43 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 10 kWh] price_oracle                      967.34 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 5 kWh] self_consumption_peak_shaving     386.62 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 5 kWh] price_oracle                      385.22 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 10 kWh] milp_full_period                  671.05 EUR  (  71.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 20 kWh] no_battery                        997.23 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 20 kWh] self_consumption                  998.43 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 20 kWh] fixed_schedule                    910.59 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 20 kWh] milp_full_period                  656.95 EUR  (  35.1 s)
  [Fluvius_HP_EV 5 | Dinamični | 20 kWh] delayed_pv_charge                 998.43 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 30 kWh] no_battery                       1095.24 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 20 kWh] price_threshold                   883.27 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 30 kWh] self_consumption                 1095.16 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 20 kWh] price_rank_daily                  856.91 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 30 kWh] fixed_schedule                   1173.09 EUR  (   1.5 s)
  [Fluvius_HP_EV 5 | Dinamični | 20 kWh] peak_shaving                      993.28 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 30 kWh] delayed_pv_charge                1095.16 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 20 kWh] self_consumption_peak_shaving     994.41 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 30 kWh] price_threshold                   882.93 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 20 kWh] price_oracle                      860.04 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 30 kWh] price_rank_daily                  897.67 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Dinamični | 20 kWh] milp_full_period                  622.11 EUR  (  82.3 s)
  [Fluvius_HP_EV 5 | Aktivni | 30 kWh] peak_shaving                     1092.39 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Redni 1T | 20 kWh] milp_full_period                 1193.16 EUR  (  48.9 s)
  [Fluvius_HP_EV 4 | Dinamični | 30 kWh] no_battery                       1182.42 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 30 kWh] self_consumption_peak_shaving    1092.42 EUR  (   1.5 s)
  [Fluvius_HP_EV 4 | Redni 1T | 30 kWh] no_battery                       1205.23 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Dinamični | 30 kWh] self_consumption                 1184.21 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 30 kWh] price_oracle                      883.12 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Redni 1T | 30 kWh] self_consumption                 1205.44 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Dinamični | 30 kWh] fixed_schedule                   1099.37 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Redni 1T | 30 kWh] fixed_schedule                   1254.82 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Dinamični | 30 kWh] delayed_pv_charge                1184.21 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Redni 1T | 30 kWh] delayed_pv_charge                1205.44 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Dinamični | 30 kWh] price_threshold                  1038.58 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Aktivni | 30 kWh] milp_full_period                  733.06 EUR  (  62.6 s)
[72/140] Fluvius_HP_EV_user_004_aktivni.csv (40 rows)  (2021s elapsed)
  [Fluvius_HP_EV 4 | Redni 1T | 30 kWh] price_threshold                  1205.44 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Dinamični | 30 kWh] price_rank_daily                 1001.92 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Redni 1T | 30 kWh] price_rank_daily                 1205.44 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Dinamični | 30 kWh] peak_shaving                     1167.29 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 10 kWh] milp_full_period                  953.25 EUR  (  30.0 s)
  [Fluvius_HP_EV 4 | Redni 1T | 30 kWh] peak_shaving                     1195.71 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Dinamični | 30 kWh] self_consumption_peak_shaving    1169.14 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 20 kWh] no_battery                        987.52 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 5 kWh] no_battery                        595.76 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Redni 1T | 30 kWh] self_consumption_peak_shaving    1195.92 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Dinamični | 30 kWh] price_oracle                     1022.13 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 20 kWh] self_consumption                  987.79 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 5 kWh] self_consumption                  411.01 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Redni 1T | 30 kWh] price_oracle                     1205.44 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 20 kWh] fixed_schedule                    966.60 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 5 kWh] fixed_schedule                    532.25 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 20 kWh] delayed_pv_charge                 987.79 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 5 kWh] delayed_pv_charge                 448.51 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 20 kWh] price_threshold                   956.61 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 5 kWh] price_threshold                   441.13 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 20 kWh] price_rank_daily                  968.72 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 5 kWh] price_rank_daily                  397.75 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 20 kWh] peak_shaving                      983.79 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 5 kWh] peak_shaving                      575.58 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 20 kWh] self_consumption_peak_shaving     984.00 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 5 kWh] self_consumption_peak_shaving     449.37 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 10 kWh] milp_full_period                  934.58 EUR  (  74.5 s)
  [Fluvius_HP_EV 5 | Redni 2T | 20 kWh] price_oracle                      955.64 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 5 kWh] price_oracle                      440.99 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 20 kWh] no_battery                        943.36 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 20 kWh] self_consumption                  943.50 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 20 kWh] fixed_schedule                    986.20 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 20 kWh] delayed_pv_charge                 943.50 EUR  (   1.4 s)
  [Fluvius_HP_EV 3 | Redni 1T | 30 kWh] milp_full_period                 2002.84 EUR  (  79.4 s)
[73/140] Fluvius_HP_EV_user_003_redni1t.csv (40 rows)  (2043s elapsed)
  [Fluvius_HP_EV 5 | Redni 1T | 20 kWh] price_threshold                   943.50 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 20 kWh] price_rank_daily                  943.50 EUR  (   1.4 s)
  [Fluvius_HP_EV 2 | Redni 1T | 30 kWh] milp_full_period                 3162.10 EUR  (  96.8 s)
[74/140] Fluvius_HP_EV_user_002_redni1t.csv (40 rows)  (2045s elapsed)
  [Fluvius_HP_EV 5 | Redni 1T | 20 kWh] peak_shaving                      940.76 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 5 kWh] no_battery                        486.02 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 20 kWh] self_consumption_peak_shaving     940.93 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 5 kWh] self_consumption                  380.94 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 1T | 20 kWh] price_oracle                      943.50 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 5 kWh] no_battery                        237.92 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 5 kWh] fixed_schedule                    452.39 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 5 kWh] self_consumption                  157.33 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 5 kWh] delayed_pv_charge                 388.10 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 5 kWh] fixed_schedule                    180.81 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 5 kWh] price_threshold                   410.11 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 5 kWh] delayed_pv_charge                 169.62 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Aktivni | 30 kWh] milp_full_period                  505.18 EUR  (  37.8 s)
[75/140] Fluvius_HP_EV_user_005_aktivni.csv (40 rows)  (2055s elapsed)
  [Fluvius_PV 1 | Redni 1T | 5 kWh] price_rank_daily                  380.94 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 5 kWh] price_threshold                   181.12 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 5 kWh] peak_shaving                      474.01 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 5 kWh] price_rank_daily                  148.87 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 5 kWh] self_consumption_peak_shaving     404.73 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 5 kWh] peak_shaving                      225.11 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 5 kWh] price_oracle                      410.93 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 5 kWh] no_battery                        306.53 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 5 kWh] self_consumption_peak_shaving     163.81 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 5 kWh] self_consumption                  176.40 EUR  (   1.4 s)
  [Fluvius_PV 2 | Dinamični | 5 kWh] price_oracle                      174.86 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 5 kWh] fixed_schedule                    273.25 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 5 kWh] delayed_pv_charge                 195.32 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 5 kWh] milp_full_period                  344.90 EUR  (  26.5 s)
  [Fluvius_PV 2 | Aktivni | 5 kWh] price_threshold                   207.66 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 10 kWh] no_battery                        595.76 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 5 kWh] price_rank_daily                  176.79 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 10 kWh] self_consumption                  387.56 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 5 kWh] peak_shaving                      290.68 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 10 kWh] fixed_schedule                    527.36 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 5 kWh] self_consumption_peak_shaving     187.46 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 10 kWh] delayed_pv_charge                 416.17 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 5 kWh] price_oracle                      207.52 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 20 kWh] milp_full_period                  940.09 EUR  (  33.9 s)
  [Fluvius_PV 1 | Aktivni | 10 kWh] price_threshold                   415.65 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 10 kWh] price_rank_daily                  368.28 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 30 kWh] no_battery                        987.52 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 10 kWh] peak_shaving                      572.48 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 30 kWh] self_consumption                  987.92 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 10 kWh] self_consumption_peak_shaving     403.85 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 30 kWh] fixed_schedule                    965.88 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 30 kWh] delayed_pv_charge                 987.92 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 10 kWh] price_oracle                      414.57 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 30 kWh] price_threshold                   951.74 EUR  (   1.5 s)
  [Fluvius_HP_EV 5 | Redni 2T | 30 kWh] price_rank_daily                  964.71 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 30 kWh] peak_shaving                      983.86 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 30 kWh] self_consumption_peak_shaving     984.13 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 30 kWh] price_oracle                      950.72 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 5 kWh] milp_full_period                  377.44 EUR  (  27.5 s)
  [Fluvius_HP_EV 4 | Redni 1T | 30 kWh] milp_full_period                 1193.16 EUR  (  60.7 s)
[76/140] Fluvius_HP_EV_user_004_redni1t.csv (40 rows)  (2088s elapsed)
  [Fluvius_PV 1 | Redni 1T | 10 kWh] no_battery                        486.02 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 10 kWh] self_consumption                  360.70 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 10 kWh] fixed_schedule                    457.22 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 10 kWh] delayed_pv_charge                 362.94 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 5 kWh] no_battery                        226.42 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 20 kWh] milp_full_period                  445.72 EUR  (  82.1 s)
  [Fluvius_PV 1 | Redni 1T | 10 kWh] price_threshold                   396.36 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 5 kWh] self_consumption                  150.76 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 30 kWh] no_battery                        997.23 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 10 kWh] price_rank_daily                  360.70 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 5 kWh] fixed_schedule                    210.06 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 30 kWh] self_consumption                  998.81 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 10 kWh] peak_shaving                      471.96 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 5 kWh] delayed_pv_charge                 152.30 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 30 kWh] fixed_schedule                    896.61 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 5 kWh] milp_full_period                   86.41 EUR  (  27.3 s)
  [Fluvius_PV 1 | Redni 1T | 10 kWh] self_consumption_peak_shaving     371.67 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 5 kWh] price_threshold                   166.94 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 30 kWh] delayed_pv_charge                 998.81 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 10 kWh] price_oracle                      397.53 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 10 kWh] no_battery                        306.53 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 5 kWh] price_rank_daily                  150.76 EUR  (   1.4 s)
  [Fluvius_HP_EV 4 | Dinamični | 30 kWh] milp_full_period                  476.50 EUR  (  74.2 s)
[77/140] Fluvius_HP_EV_user_004.csv (40 rows)  (2101s elapsed)
  [Fluvius_HP_EV 5 | Dinamični | 30 kWh] price_threshold                   865.16 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 10 kWh] self_consumption                  168.07 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 5 kWh] peak_shaving                      215.32 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 30 kWh] price_rank_daily                  836.20 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 10 kWh] fixed_schedule                    272.02 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 5 kWh] self_consumption_peak_shaving     156.93 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 30 kWh] peak_shaving                      993.42 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 10 kWh] delayed_pv_charge                 185.41 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 5 kWh] price_oracle                      167.55 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Dinamični | 30 kWh] self_consumption_peak_shaving     994.73 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 5 kWh] no_battery                        124.22 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 10 kWh] price_threshold                   207.74 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 10 kWh] milp_full_period                  220.83 EUR  (  29.0 s)
  [Fluvius_HP_EV 5 | Dinamični | 30 kWh] price_oracle                      836.26 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 5 kWh] self_consumption                   53.96 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 10 kWh] price_rank_daily                  177.73 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 5 kWh] fixed_schedule                     70.45 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 20 kWh] no_battery                        595.76 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 10 kWh] peak_shaving                      290.41 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 5 kWh] delayed_pv_charge                  64.47 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 20 kWh] self_consumption                  381.57 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 10 kWh] self_consumption_peak_shaving     177.61 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 5 kWh] price_threshold                    73.65 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 20 kWh] fixed_schedule                    524.21 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 10 kWh] price_oracle                      207.03 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 5 kWh] price_rank_daily                   49.46 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 20 kWh] delayed_pv_charge                 406.48 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 5 kWh] peak_shaving                      113.26 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 20 kWh] price_threshold                   413.91 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 5 kWh] self_consumption_peak_shaving      57.92 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 20 kWh] price_rank_daily                  367.35 EUR  (   1.4 s)
  [Fluvius_PV 3 | Dinamični | 5 kWh] price_oracle                       70.29 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 20 kWh] peak_shaving                      571.11 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 20 kWh] self_consumption_peak_shaving     396.08 EUR  (   1.4 s)
  [Fluvius_PV 1 | Aktivni | 20 kWh] price_oracle                      412.67 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 5 kWh] milp_full_period                  239.16 EUR  ( 125.5 s)
  [Fluvius_PV 1 | Dinamični | 10 kWh] no_battery                        480.24 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 10 kWh] self_consumption                  351.58 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 10 kWh] fixed_schedule                    376.56 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 10 kWh] delayed_pv_charge                 371.32 EUR  (   1.4 s)
  [Fluvius_HP_EV 5 | Redni 2T | 30 kWh] milp_full_period                  934.29 EUR  (  44.0 s)
[78/140] Fluvius_HP_EV_user_005_redni2t.csv (40 rows)  (2128s elapsed)
  [Fluvius_PV 1 | Dinamični | 10 kWh] price_threshold                   371.26 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 10 kWh] price_rank_daily                  325.47 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 10 kWh] peak_shaving                      464.05 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 5 kWh] milp_full_period                  147.57 EUR  (  27.8 s)
  [Fluvius_PV 1 | Dinamični | 10 kWh] self_consumption_peak_shaving     362.12 EUR  (   1.5 s)
  [Fluvius_PV 3 | Aktivni | 5 kWh] no_battery                        177.35 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 10 kWh] milp_full_period                  357.31 EUR  (  33.9 s)
  [Fluvius_PV 2 | Redni 1T | 10 kWh] no_battery                        226.42 EUR  (   1.4 s)
  [Fluvius_PV 1 | Dinamični | 10 kWh] price_oracle                      366.29 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 5 kWh] self_consumption                   65.13 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 10 kWh] self_consumption                  144.28 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 20 kWh] no_battery                        486.02 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 5 kWh] fixed_schedule                    134.38 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 10 kWh] fixed_schedule                    211.65 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 20 kWh] self_consumption                  354.38 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 5 kWh] delayed_pv_charge                  82.00 EUR  (   1.4 s)
  [Fluvius_PV 2 | Redni 1T | 10 kWh] delayed_pv_charge                 144.76 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 20 kWh] fixed_schedule                    458.05 EUR  (   1.4 s)
  [Fluvius_PV 3 | Aktivni | 5 kWh] price_threshold                   100.38 EUR  (   1.4 s)
  [Fluvius_PV 2 | Aktivni | 10 kWh] milp_full_period                  -24.27 EUR  (  28.0 s)
  [Fluvius_PV 2 | Redni 1T | 10 kWh] price_threshold                   161.20 EUR  (   1.4 s)
  [Fluvius_PV 1 | Redni 1T | 20 kWh] delayed_pv_charge                 354.80 EUR  (   1.4 s)
