140 jobs x 4 capacities x 10 controllers on 10 workers
  [Fluvius 1 | Aktivni | 5 kWh] price_oracle                      430.61 EUR  (   1.9 s)
  [Fluvius 2 | Redni 2T | 5 kWh] milp_full_period                  564.53 EUR  (  36.1 s)
  [Fluvius 3 | Aktivni | 5 kWh] milp_full_period                  520.59 EUR  (  37.5 s)
  [Fluvius 2 | Aktivni | 5 kWh] milp_full_period                  448.78 EUR  (  37.7 s)
  [Fluvius 1 | Redni 2T | 5 kWh] milp_full_period                  500.01 EUR  (  37.8 s)
  [Fluvius 2 | Redni 2T | 10 kWh] no_battery                        586.75 EUR  (   1.8 s)
  [Fluvius 1 | Aktivni | 5 kWh] milp_full_period                  402.49 EUR  (  39.2 s)
  [Fluvius 3 | Aktivni | 10 kWh] no_battery                        676.64 EUR  (   1.9 s)
  [Fluvius 2 | Aktivni | 10 kWh] no_battery                        590.82 EUR  (   2.0 s)
  [Fluvius 1 | Redni 2T | 10 kWh] no_battery                        521.34 EUR  (   1.7 s)
  [Fluvius 2 | Redni 2T | 10 kWh] self_consumption                  586.88 EUR  (   1.9 s)
  [Fluvius 3 | Aktivni | 10 kWh] self_consumption                  676.72 EUR  (   2.0 s)
  [Fluvius 2 | Aktivni | 10 kWh] self_consumption                  590.88 EUR  (   1.9 s)
  [Fluvius 1 | Aktivni | 10 kWh] no_battery                        554.16 EUR  (   2.0 s)
  [Fluvius 1 | Redni 2T | 10 kWh] self_consumption                  521.47 EUR  (   1.9 s)
  [Fluvius 2 | Redni 2T | 10 kWh] fixed_schedule                    574.74 EUR  (   1.9 s)
  [Fluvius 3 | Aktivni | 10 kWh] fixed_schedule                    745.93 EUR  (   2.0 s)
  [Fluvius 2 | Aktivni | 10 kWh] fixed_schedule                    682.51 EUR  (   2.0 s)
  [Fluvius 1 | Aktivni | 10 kWh] self_consumption                  554.23 EUR  (   1.9 s)
  [Fluvius 1 | Redni 2T | 10 kWh] fixed_schedule                    507.77 EUR  (   1.9 s)
  [Fluvius 2 | Redni 2T | 10 kWh] delayed_pv_charge                 586.88 EUR  (   2.0 s)
