hh,day,act_con,act_gen,persistence__con_mae,persistence__con_bias,persistence__gen_mae,persistence__gen_bias,median14__con_mae,median14__con_bias,median14__gen_mae,median14__gen_bias,hbd__con_mae,hbd__con_bias,hbd__gen_mae,hbd__gen_bias,hbd_median14__con_mae,hbd_median14__con_bias,hbd_median14__gen_mae,hbd_median14__gen_bias,prophet__con_mae,prophet__con_bias,prophet__gen_mae,prophet__gen_bias,cost_nb,cost_fc,cost_pk,arm,n_sim,n_train,steps_per_day,start_ts,kinds,money,absence_rel,absence_min_days,absence_window
Ausgrid 128,2012-09-28,31.844,9.946,0.21483333333333332,-0.066,0.060708333333333336,0.01895833333333333,0.19329166666666664,-0.05545833333333331,0.06512499999999999,0.04608333333333333,0.1883596007288546,-0.11544739246586892,0.05279080212239575,0.004501209511329879,0.19471935246732686,-0.06450423401317432,0.05256554742850935,0.03364649084706244,0.25241544140979916,0.058121723073743393,0.07536721314274344,0.016551197563855816,5.61466016440395,1.8549518386999087,1.386726450483039,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 128,2012-09-29,25.808,10.864,0.1825,0.12575,0.06345833333333334,-0.019125000000000003,0.17637499999999998,0.08383333333333333,0.03675,0.022333333333333327,0.20779572094690427,0.04020815913294327,0.049458419900090034,-0.03319320046806347,0.16767892334997983,0.10636210558927639,0.0367774481158206,0.0049001909296541276,0.37035937441384376,0.2273128161904189,0.03932268829347799,-0.00252072397584225,2.66494980375085,1.3324749018754245,1.1780593988119838,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 128,2012-09-30,24.122,14.462,0.08429166666666667,0.03512500000000001,0.08487499999999999,-0.07495833333333334,0.16441666666666668,0.100875,0.05772916666666667,-0.0569375,0.1758398683902659,0.01869558426747113,0.10081961793287304,-0.09204373987687019,0.14714538886011105,0.08918297449404321,0.06847746424903169,-0.06476359388942426,0.37550421647879095,0.22666111314258944,0.11198857619000673,-0.07733557682181465,2.20842136957255,1.1042106847862743,1.0453809579122353,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 128,2012-10-01,25.248,11.018,0.06370833333333333,-0.02345833333333334,0.07275000000000001,0.07175,0.106875,0.06225,0.06854166666666667,0.016125,0.17654402482853412,0.011929187617732049,0.06344131155922751,0.03250439909865514,0.10565166802009616,0.0638351438539309,0.06354658177838997,0.04005394141604008,0.338372817495884,0.17842647382893764,0.09982265957470308,-0.005350449647712516,2.5362328318085,1.3528072561570519,1.2630512912798462,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 128,2012-10-02,32.21,12.09,0.35429166666666667,-0.14504166666666668,0.04941666666666667,-0.02233333333333334,0.29981250000000004,-0.09464583333333333,0.03160416666666667,-0.0029375000000000026,0.2315647374248083,-0.14082949530684477,0.0479370618122392,-0.042741707816208556,0.301916087334168,-0.1055622395197769,0.024803532173324937,-0.01100370815425254,0.2703469569616641,0.03953507709926709,0.07082184714074373,-0.027356686145902195,4.1879814118571,1.431699986925839,1.2969200436964634,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 128,2012-10-03,30.242,13.942,0.18225000000000002,0.041,0.04541666666666667,-0.038583333333333324,0.28968750000000004,-0.0581875,0.0489375,-0.04218749999999999,0.16790064092468981,-0.05164141421976329,0.06651171907122991,-0.06457161663332883,0.26469173832798615,-0.04153834795015052,0.045280076438208756,-0.039668671187065664,0.2732443529396057,0.08622857160238727,0.09873596924586793,-0.06552139309566347,3.8791113033266003,1.7284294840624097,1.4543547592375718,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 128,2012-10-04,29.080000000000002,13.554,0.12237500000000001,0.02420833333333333,0.01908333333333333,0.008083333333333333,0.27975,-0.04083333333333333,0.042833333333333334,-0.031583333333333324,0.13510266734095233,-0.04032447178028279,0.03811366289942981,-0.02751539423341397,0.2554624305912308,-0.031008121605774406,0.030689043835417273,-0.014258269820435411,0.23594880092764045,0.10418133724272838,0.09245714372259535,-0.05692895981360105,3.61811886145545,1.3582693058393742,1.2888264959275997,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 128,2012-10-05,26.904,13.47,0.08600000000000001,0.04533333333333334,0.02366666666666667,0.001749999999999998,0.28200000000000003,0.007708333333333332,0.03475,-0.025333333333333336,0.16000783203782085,0.0056501006241928544,0.03487397420091188,-0.033407824102105584,0.2603300484343071,0.021508208217512693,0.025908061233694952,-0.013550333508972135,0.29605489122395695,0.1827966972190527,0.08235263966472667,-0.05458092896356734,3.1473374534195,1.150122972948139,1.00718687794243,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 128,2012-10-06,24.958,2.966,0.09804166666666668,0.04054166666666667,0.21933333333333335,0.21883333333333332,0.3182291666666667,0.0488125,0.2081875,0.20172916666666665,0.20498516750143014,0.030847122030526447,0.18590965041395266,0.18531023053763382,0.30172580203253513,0.06251304475524853,0.21227807693504996,0.2087817773152029,0.37411021102449027,0.27418498653134843,0.1649374423881921,0.1649374423881921,3.4618967646647993,1.4835412405172346,1.3163753369103273,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
Ausgrid 128,2012-10-07,23.156,16.69,0.15604166666666666,0.03754166666666666,0.287,-0.28591666666666665,0.26897916666666666,0.06622916666666667,0.12314583333333333,-0.09264583333333333,0.2278374384990123,0.052013813596903935,0.2612997291783021,-0.26012115313676454,0.2521730685963937,0.06260356603991545,0.18104233832306313,-0.17494293756739177,0.39314216325895573,0.2790171342786461,0.1358200028264744,-0.12020940595105167,1.521455424291,1.4719564476696319,0.9565190495179078,AU_H24,365,730,48,2010-07-01 00:30:00,persistence|median14|hbd|hbd_median14|prophet,True,0.55,3,29
