config,dataset,channel,mae,nmae,skill_vs_naive,n_sim,n_train,steps_per_day,start_ts,refit_every_days
no_yearly,Ausgrid 223,generation,0.07253314212054517,0.5547055384323719,-0.783155254608108,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 223,consumption,0.6530652978400825,0.926678795778687,-0.40741776051165357,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 223,generation,0.052818632777336325,0.40393656303102754,-0.2984936240814742,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 223,consumption,0.5596950807184969,0.7941894403497711,-0.2061960720918723,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 223,generation,0.06787742378084637,0.5191003974870084,-0.6686990435754725,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 261,consumption,0.35436963214758244,0.756063221492274,-0.012017475317317894,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 261,generation,0.07598076695787005,0.47450222371954986,-0.5234238989046627,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 261,consumption,0.38149675935909333,0.8139401424492708,-0.08948778965218662,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 261,generation,0.06999520480537069,0.4371222042055676,-0.40341262767660524,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 261,consumption,0.3942888033758546,0.8412325318963315,-0.1260196222799872,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 261,generation,0.07587859057183768,0.47386412905000186,-0.5213752495606552,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 261,consumption,0.3567742765976836,0.7611936363601312,-0.018884717836602727,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 261,generation,0.07610035909924398,0.47524908031620383,-0.5258217363256938,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 261,consumption,0.5437009427272038,1.1600099133650341,-0.552714469498552,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 261,generation,0.06816460548845794,0.4256900552369184,-0.366708881974094,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 261,consumption,0.35503872573650314,0.7574907621403071,-0.013928289177148168,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 261,generation,0.07612732402522882,0.4754174771073198,-0.5263623864707532,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 261,consumption,0.3544636779539065,0.7562638723631353,-0.01228605363454971,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 261,generation,0.07600266284984601,0.4746389642375638,-0.5238629142826268,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 261,consumption,0.3665233849923189,0.7819937886047106,-0.046726460381925294,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 261,generation,0.08035897828329462,0.5018442879419339,-0.6112075846274609,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 261,consumption,0.39298490423455157,0.838450605636736,-0.12229591517491456,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 261,generation,0.06926891130468085,0.43258647898261116,-0.3888503519735509,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 261,consumption,0.35548985616029655,0.7584532687734499,-0.0152166384912793,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 261,generation,0.07615265017824731,0.4755756397109192,-0.5268701790124772,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 65,consumption,0.4838113375949997,0.5711508847399783,0.0918249499605025,90,730,48,2010-07-01 00:30:00,30
default,Ausgrid 65,generation,0.12380106809938746,0.47654234468807094,-0.34384467028165844,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 65,consumption,0.44018704012282683,0.519651355561419,0.1737132718354507,90,730,48,2010-07-01 00:30:00,30
cps_0.001,Ausgrid 65,generation,0.12141284145956785,0.4673494423968525,-0.31792077729254675,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 65,consumption,0.4172409070878024,0.49256289531684677,0.2167860646742591,90,730,48,2010-07-01 00:30:00,30
cps_0.01,Ausgrid 65,generation,0.12276753957632354,0.4725640259768989,-0.3326258511016129,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 65,consumption,0.7972453671887737,0.9411672721193856,-0.49653035176806326,90,730,48,2010-07-01 00:30:00,30
cps_0.5,Ausgrid 65,generation,0.12441129288123784,0.4788912577693078,-0.3504685817983595,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 65,consumption,0.594245038055897,0.7015205160861354,-0.11547306818986591,90,730,48,2010-07-01 00:30:00,30
flat_trend,Ausgrid 65,generation,0.12037463513622192,0.46335311762201237,-0.30665118119212287,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 65,consumption,0.4893704309460548,0.5777135277354699,0.08138982889168844,90,730,48,2010-07-01 00:30:00,30
sps_0.1,Ausgrid 65,generation,0.12437248581638256,0.478741879335337,-0.350047336100922,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 65,consumption,0.49085060841451655,0.5794609127283198,0.07861134864116393,90,730,48,2010-07-01 00:30:00,30
sps_1,Ausgrid 65,generation,0.12375574616167405,0.4763678888227434,-0.34335270647732274,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 65,consumption,0.4805112714561997,0.567255077534952,0.09801959133793792,90,730,48,2010-07-01 00:30:00,30
no_yearly,Ausgrid 65,generation,0.1308172367069058,0.5035493930947088,-0.4200042780601767,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 65,consumption,0.5131039823152747,0.6057315542040828,0.03683895228449463,90,730,48,2010-07-01 00:30:00,30
mode_flip,Ausgrid 65,generation,0.12356266057223388,0.4756246524280183,-0.34125678723962216,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 65,consumption,0.48508783195229543,0.5726578169362332,0.08942880866175806,90,730,48,2010-07-01 00:30:00,30
weekly_flip,Ausgrid 65,generation,0.12392828172151212,0.47703202283620194,-0.34522555778694386,90,730,48,2010-07-01 00:30:00,30
