Merilno mesto,GSRN MM,Časovna značka,Leto,Mesec,Energija A+,Energija A-,Energija R+,Energija R-,P+ Prejeta delovna moč,P- Oddana delovna moč,Q+ Prejeta jalova moč,Q- Oddana jalova moč,Blok,Dogovorjena moč,Status odčitka A+,Status odčitka A-,Status odčitka R+,Status odčitka R-,Obračunski podatek
3-83472,383111580029696907,2025-07-12T10:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T10:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T10:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T11:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T11:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T11:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T11:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T12:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T12:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T12:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T12:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T13:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T13:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T13:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T13:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T14:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T14:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T14:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T14:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T15:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T15:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T15:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T15:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T16:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T16:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T16:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T16:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T17:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T17:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T17:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T17:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T18:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T18:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T18:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T18:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T19:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T19:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T19:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T19:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T20:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T20:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T20:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T20:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T21:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T21:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T21:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T21:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T22:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T22:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T22:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T22:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T23:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T23:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T23:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-12T23:45,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-13T00:00,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-13T00:15,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
3-83472,383111580029696907,2025-07-13T00:30,2025,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,4.2,"1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259","1.5.257, 1.5.259",Ne
