dataset,cost_no_battery,cost_oracle,cost_prophet,buy_no_battery,buy_oracle,buy_prophet,sell_no_battery,sell_oracle,sell_prophet,gross_oracle,energy_oracle,power_oracle,fixed_oracle,termadj_oracle,peakkw_oracle,efc_oracle,gross_prophet,energy_prophet,power_prophet,fixed_prophet,termadj_prophet,peakkw_prophet,efc_prophet,efc_no_battery,cost_self_consumption,efc_self_consumption,cost_fixed_schedule,efc_fixed_schedule,cost_delayed_pv_charge,efc_delayed_pv_charge,cost_price_threshold,efc_price_threshold,cost_price_rank_daily,efc_price_rank_daily,cost_tariff_arbitrage,efc_tariff_arbitrage,cost_price_oracle,efc_price_oracle,gen_mae,gen_rmse,gen_nmae,gen_skill_vs_naive,gen_mae_first_month,gen_mae_last_month,con_mae,con_rmse,con_nmae,con_skill_vs_naive,con_mae_first_month,con_mae_last_month,regret_prophet,gain_oracle_vs_no_battery_pct,gain_prophet_vs_no_battery_pct,baseline_positive
Ausgrid 249,1164.5944424629645,806.4544471442497,951.3581253978937,5669.514999999999,5404.456864869607,6554.127049132681,591.292,18.306332128000047,1168.9476813337988,806.1618471453414,806.1618471453414,0.0,705.3016666664521,0.29259999890826216,4.59,303.36133020876133,951.0655253989854,951.0655253989854,0.0,705.3016666664521,0.29259999890826216,4.59,302.41506709454455,0.0,1108.2117899544655,53.74410299999996,879.1893995197988,244.93336425000075,1108.2117899544655,53.74410299999996,1018.2266928070696,162.71100999999967,958.1573440620358,200.11751025000007,973.5370589193136,225.59589143525045,1021.6371229023694,157.59812424999978,0.10751016083315118,0.1973010084115166,0.4680369051249617,-0.23826247960209512,0.07856122606502013,0.07810825319874844,0.38203897330904585,0.5380236583877215,0.471996693881819,-0.16337875135911872,0.45989820236878765,0.4828295540182221,144.903678253644,30.7523359429138,18.309920543163848,True
Ausgrid 81,337.0674458671571,161.49663914775832,307.8902425364839,2470.9849999999997,1454.0941306300924,2602.4022087233907,1453.213,266.55992954024106,1431.755302717317,161.30360122041486,161.30360122041486,0.0,705.3016666664521,0.19303792734345365,4.6240000000000006,167.60582328146106,307.7259443371749,307.7259443371749,0.0,705.3016666664521,0.1642981993090324,4.232,150.82451825045922,0.0,235.1568637974338,113.83088499999812,206.92980151538274,124.44379524999859,236.05993909473915,113.39322346315605,275.3034944188877,91.88169574999804,250.76562834153026,114.60986774999876,287.1052618123144,63.206107613414396,275.04846602706016,90.74292549999811,0.12260360801575203,0.2182192232761535,0.5524145107143933,-0.1759237409197627,0.0874864459660998,0.09765902509090267,0.33999267609322187,0.5155475820393417,1.0055226077224828,-1.5917142740334147,0.24859691410386506,0.15184080144565676,146.3936033887256,52.087737594390425,8.65619142056582,True
Ausgrid 104,2027.3560620183864,1723.3979504334263,1890.156174615529,12190.554,12110.13635477639,13321.722937567441,382.53499999999997,11.981000024230031,1240.3639643039546,1723.105350434518,1723.105350434518,0.0,705.3016666664521,0.29259999890826216,13.242,286.0263362566232,1889.8635746166206,1889.8635746166206,0.0,705.3016666664521,0.29259999890826216,13.242,269.6606314289405,0.0,1989.9877650205856,34.90378374999993,1792.1941335199535,230.71546950000024,1989.9877650205856,34.90378374999993,1923.2596412958308,159.19809025000012,1878.0486917087571,185.80533500000035,1891.466014857032,218.82733865101687,1923.8292591085558,153.52475799999962,0.11572332966589863,0.19831968137297756,0.4903744396587151,-0.2764711477418238,0.10079058624297126,0.10489908211373518,1.2231796807515634,1.8089353565694213,0.7722400595319993,-0.327015952271718,0.9467490767036093,0.7840368972809517,166.7582241821026,14.992833142607754,6.7674292628333195,True
Ausgrid 172,646.1216635833382,429.45115440656053,573.7188931670645,3466.299,3272.74368521623,4350.679178729833,467.297,45.71951674240003,1126.1789467993974,429.1585544076523,429.1585544076523,0.0,705.3016666664521,0.29259999890826216,4.8,225.5048212889705,573.4262931684419,573.4262931684419,0.0,705.3016666664521,0.2925999986226092,4.34032648,223.04560115266767,0.0,602.3530109965324,40.30952950000021,480.57333038654775,191.58318925000148,602.339819077238,40.30952950000021,547.1852753216604,133.90344475000012,518.8702643345179,165.25103100000123,533.1004768451409,165.0715368729912,546.44980439486,131.09665825000016,0.08867089960542211,0.15649003408531176,0.5898424852386933,-0.3455325099577984,0.06917002990505682,0.07106840532038258,0.31242991342573534,0.4619820890791877,0.6341416040417708,-0.10003767760176241,0.44612335100208644,0.428849519358257,144.26773876050396,33.534010912920124,11.205748777209207,True
Ausgrid 29,696.4214958228428,426.303955357378,588.9247080924233,3680.29,2960.058899386683,4059.156560950911,1039.942,73.95321598390004,1175.5846363788746,426.01135535846976,426.01135535846976,0.0,705.3016666664521,0.29259999890826216,3.91,242.78557945381834,588.6321080935151,588.6321080935151,0.0,705.3016666664521,0.29259999890826216,4.606000000000001,240.3167888357455,0.0,594.31592678944,90.3545420000003,495.4168230383619,210.36047974999906,595.2583243844488,89.80538471097027,560.2488413286502,158.12700124999967,513.3138860220963,198.27873699999927,533.6678997351166,194.52305030978025,560.8517074346133,156.0087812499997,0.1431289220744398,0.28554971967796333,0.6016833173877852,-0.34778501535256545,0.04725304140197834,0.10470820921877895,0.33662094915285734,0.4844475115071659,0.6241923503781881,-0.06871152053632401,0.6427642570046475,0.43993818498658216,162.6207527350453,38.78650243934714,15.435593010150955,True
Ausgrid 27,842.5668283269008,608.0643427562268,760.3673351596286,4741.581,4522.503699541076,5643.240823203223,554.73,83.10932706570003,1189.4207662009726,607.7717427573185,607.7717427573185,0.0,705.3016666664521,0.29259999890826216,5.0920000000000005,249.39727654357438,760.0747351607204,760.0747351607204,0.0,705.3016666664521,0.29259999890826216,5.0920000000000005,263.45307181143306,0.0,794.3873169070756,45.817664250000014,662.026105211811,208.9943435000023,794.4103524975604,45.8022146591163,742.2075634282431,138.8716199999996,709.4240605701741,172.93015625000254,723.1332516421921,187.85415739923874,744.9074309256205,133.96795199999963,0.0795644291158444,0.13907387383226322,0.4648084133238259,-0.13806377717420282,0.0613565608049724,0.06947565757864599,0.39117025684857254,0.5626317970685518,0.6026089537056212,-0.1357889630632152,0.5504054082982139,0.5979458929548044,152.30299240340184,27.831915248352416,9.755842552037931,True
Ausgrid 156,1013.9682321960803,746.3566619354433,945.4548112049288,5853.852,5479.677752140253,6920.38423505569,712.1859999999999,49.921362707300034,1500.057422828142,746.064061936535,746.064061936535,0.0,705.3016666664521,0.29259999890826216,7.434094179999999,284.0328315399758,945.1622112060205,945.1622112060205,0.0,705.3016666664521,0.29259999890826216,8.725999999999999,274.84503834650553,0.0,940.9217778673138,62.57139699999982,795.7718092636097,248.63779475000146,940.9550703049689,62.54185734831549,895.5613528108877,162.86216875000162,856.2589489418101,205.48723300000273,869.5855150763099,204.30778937045116,895.8738550686161,157.54501650000114,0.10560292597541811,0.1931024725417858,0.4423694331737577,-0.16814888296264718,0.08127958242982168,0.0953243066497833,0.5719560277795311,0.8396244597441361,0.6927180569227832,-0.662693218207661,0.7183640056823426,0.5813060046978109,199.09814926948548,26.392500451521688,6.756959322360945,True
Ausgrid 180,647.5545848154048,394.09163211331827,537.6147152241937,3270.559,2612.4751019311852,3679.5689602101065,1022.7570000000001,148.7036314699262,1214.6046752355144,393.79903211441,393.79903211441,0.0,705.3016666664521,0.29259999890826216,5.066,213.7611668248369,537.3221152252854,537.3221152252854,0.0,705.3016666664521,0.29259999890826216,5.066,214.92339643406922,0.0,550.251658764113,84.98097475000002,458.11448060001965,178.0801270000003,551.4499706419408,84.49004990288313,511.75627545191384,138.7999782500004,468.4304760615757,177.15184700000015,497.6284643511074,156.13283480371103,514.4699203456419,136.63701225000028,0.10327688879717467,0.19975441772070945,0.515636006563105,-0.17730758532174407,0.06241474566130787,0.06966028361151737,0.3478377416878635,0.5315210629705134,0.7613183314246235,-0.1757573368376495,0.7751238466446456,0.4448144565936968,143.5230831108754,39.141557892658575,16.97769920392907,True
Ausgrid 21,1558.229745569507,1202.5353959251756,1362.7987863827127,8193.731,8176.193764312053,9153.072631534811,321.28099999999995,11.599200000000032,1011.8921235343391,1202.2427959262673,1202.2427959262673,0.0,705.3016666664521,0.29259999890826216,7.54,287.98305335628237,1362.5061863838043,1362.5061863838043,0.0,705.3016666664521,0.29259999890826216,7.62692842,265.16935758850695,0.0,1526.714028871814,29.375610249999973,1288.5580966567422,225.79178624999992,1526.714028871814,29.375610249999973,1436.7273043863079,156.57891499999965,1377.4994089265463,181.3742877499999,1382.5539451626726,221.4272105999937,1436.340885996706,153.46157399999998,0.09527085338789656,0.18449876114122452,0.5939701978029457,-0.16470636559241192,0.07539630780142356,0.06979354625987576,0.6933723693453272,0.9461894803983318,0.6546942159105006,-0.02959424470388128,0.6033696826849098,1.0328144355352655,160.26339045753707,22.826823236796255,12.541857819263202,True
Ausgrid 290,933.7796010696319,643.8168741821901,801.8972420146995,4534.246,4543.925693949486,5538.300942519907,274.671,18.69265749773153,1020.8459950392441,643.5242741832818,643.5242741832818,0.0,705.3016666664521,0.29259999890826216,7.886,262.175667052096,801.6046420158473,801.6046420158473,0.0,705.3016666664521,0.29259999885218096,7.6502064800000005,254.59701625717895,0.0,906.2368270690212,25.169057750000007,693.696951435283,213.9752865000001,906.2368270690212,25.169057750000007,828.3420246741132,141.18816724999988,786.3476872437626,172.07086524999994,802.8909872149559,182.71014350731372,828.2281622154596,137.77588374999985,0.0798630598212966,0.14497017842034446,0.53405670954886,-0.23533814454747226,0.05510043591491854,0.061489712890946,0.3746286309533978,0.6166716889168476,0.589230260323011,0.05365710816831171,0.31756489268348287,0.4379817406511955,158.0803678325094,31.052587415198772,14.123499689205348,True
