dataset,cost_no_battery,cost_oracle,cost_prophet,buy_no_battery,buy_oracle,buy_prophet,sell_no_battery,sell_oracle,sell_prophet,gross_oracle,energy_oracle,power_oracle,fixed_oracle,termadj_oracle,peakkw_oracle,efc_oracle,gross_prophet,energy_prophet,power_prophet,fixed_prophet,termadj_prophet,peakkw_prophet,efc_prophet,efc_no_battery,cost_self_consumption,efc_self_consumption,cost_fixed_schedule,efc_fixed_schedule,cost_delayed_pv_charge,efc_delayed_pv_charge,cost_price_threshold,efc_price_threshold,cost_price_rank_daily,efc_price_rank_daily,cost_peak_shaving,efc_peak_shaving,cost_self_consumption_peak_shaving,efc_self_consumption_peak_shaving,cost_tariff_arbitrage,efc_tariff_arbitrage,cost_price_oracle,efc_price_oracle,gen_mae,gen_rmse,gen_nmae,gen_skill_vs_naive,gen_mae_first_month,gen_mae_last_month,con_mae,con_rmse,con_nmae,con_skill_vs_naive,con_mae_first_month,con_mae_last_month,regret_prophet,gain_oracle_vs_no_battery_pct,gain_prophet_vs_no_battery_pct,baseline_positive
Ausgrid 249,472.18058323940255,433.06205621321783,473.80984034074737,5669.514999999999,5262.217954524716,5916.58579232815,591.292,28.925278623000025,682.9901944992012,433.032790571802,418.83930295010197,14.193487621799996,171.73372019862393,0.02926564141578571,5.564,151.42653210496132,473.73422443190213,457.204529705602,16.529694726299997,171.73372019862393,0.07561590884525816,5.3919999999999995,152.2490874123229,0.0,441.9472810562458,53.74410299999996,453.1875026047846,244.12075184210076,441.9472810562458,53.74410299999996,451.7171489477454,162.50859209999967,445.49820052034215,199.4618695312501,457.93013582911453,23.02309733698403,439.7802420838826,61.612646551715,444.16114576824407,225.35039975623735,453.64653773774404,157.27511940499986,0.10762490065043352,0.19744035685454633,0.4685364157624611,-0.23958401060489587,0.0786221531634761,0.07834976919724664,0.38253414165205846,0.5383692668521257,0.4726084582230131,-0.16488662979261193,0.4615680359723974,0.4833456317418819,40.74778412752954,8.284653883438288,-0.3450495761954621,True
Ausgrid 81,174.20151337259924,126.68079902552698,180.48082627659085,2470.9849999999997,1594.9943257967766,2439.7341424559963,1453.213,462.0836363461947,1309.608162624192,126.35028366289976,105.22672473269998,21.123558930299996,73.75000194650508,0.33051536262722214,4.6240000000000006,115.9472136886283,180.35687303279948,155.53535679229984,24.821516240799998,73.75000194650508,0.12395324379135861,4.232,110.88352160121076,0.0,114.29506826195028,113.83088499999812,138.94024110671802,123.78304584999864,114.63087824941547,113.39322346315605,147.339613709559,89.5258557999981,138.00273766403186,110.21501517999896,126.17470833165945,83.96991941237562,111.83142538256281,109.83682615257969,161.0127639128321,63.09108975472691,145.1419313185453,88.15522102344822,0.12253455182529224,0.21817287133784183,0.5521033645557929,-0.17526140467099016,0.08742267334100913,0.09776781123968803,0.33778468679976026,0.5156546680722263,0.9989925166108257,-1.5748830956841249,0.24148890767877637,0.1551041135279704,53.80002725106387,27.279162750687647,-3.604625919960179,True
Ausgrid 104,1019.2024759552031,987.1090460247451,1027.5650703829265,12190.554,11967.60511249222,12676.53114805073,382.53499999999997,22.39135317600002,728.5745744855753,987.0042583326012,944.5801415988019,42.424116733700004,230.47829838183418,0.10478769214392877,12.144,134.86928107201166,1027.3892474594954,983.7940410285981,43.5952064309,230.47829838183418,0.1758229234309631,12.144,138.35004737597703,0.0,999.1374294798452,34.90378374999993,1012.7065563202854,218.3533891100003,999.1374294798452,34.90378374999993,1009.4906214182439,156.11609934277527,1002.7034940823436,179.9905131215002,1006.0554048793124,49.5521648264879,992.5701014025192,70.31684914366505,1000.708246173042,217.71207881154436,1007.381073167647,151.05220512999958,0.11572332966589863,0.19831968137297754,0.4903744396587151,-0.2764711477418238,0.10079058624297124,0.10489908211373518,1.2231796807515634,1.8089353565694213,0.7722400595319993,-0.327015952271718,0.9467490767036093,0.7840368972809517,40.45602435818137,3.1488767627237,-0.8205037394444993,True
Ausgrid 172,302.47135781120187,269.17427878368994,302.9116346251705,3466.299,3201.9554737776753,3747.936377629686,467.297,87.15932641195002,643.3692775778613,269.1197639120008,252.24200075810066,16.877763154,138.12174211489818,0.05451487168917161,5.592,113.44536894424694,302.78586689050155,285.41353236890143,17.3723345214,138.12174211489818,0.12576773466896146,5.592,104.28936195214983,0.0,279.858618106945,40.30952950000021,292.35816435708455,191.27561915000146,279.85081542704506,40.30952950000021,287.7208025551439,133.58356915000013,284.20796440794356,163.9395294983762,289.19710317160246,23.37876075769225,272.79214934018177,52.5551727983043,288.2810892776429,164.68360252856792,286.78635098094355,130.68248425000007,0.08867089960542208,0.15649003408531176,0.5898424852386932,-0.34553250995779794,0.0691700299050568,0.07106840532038258,0.31242991342573534,0.4619820890791877,0.6341416040417708,-0.10003767760176241,0.44612335100208644,0.4288495193582569,33.737355841480564,11.008341175991768,-0.1455598365262246,True
Ausgrid 29,304.52695158409904,251.88395638586672,297.11862820008747,3680.29,3092.0267463999908,3790.011328019046,1039.942,299.3782443179463,1006.0925194645336,251.83633484709878,242.58068990699962,9.255644939900002,145.45526784909487,0.04762153876794157,4.696000000000001,148.93722686008368,297.0423523475992,285.0527370252998,11.989615322499999,145.45526784909487,0.07627585248824083,4.67060104,140.75741722358572,0.0,253.37085772004244,90.3545420000003,283.9392717655846,210.03661581999896,253.7844640745425,89.80538471097027,281.4422922503437,157.56654014999967,266.75353842684365,197.74241178012426,293.57907562346566,17.619249358949897,256.26494743768325,92.41191080670748,277.52500099544363,194.16557004665088,281.29644730574364,155.29001888499974,0.14312892207443978,0.28554971967796333,0.6016833173877851,-0.34778501535256523,0.04725304140197834,0.10470820921877895,0.33662094915285734,0.48444751150716586,0.6241923503781881,-0.06871152053632401,0.6427642570046475,0.43993818498658216,45.23467181422075,17.286809894622504,2.4327316007580575,True
Ausgrid 27,403.0379957380991,365.05820203662927,402.8319288642211,4741.581,4412.550816126973,5015.545687951352,554.73,105.32064366201502,716.5555906433655,364.9470138114981,347.91113367219873,17.0358801393,144.7433659465784,0.11118822513116951,5.0920000000000005,118.55769210187763,402.51295653389883,383.65107846109896,18.8618780726,144.7433659465784,0.3189723303222368,5.0920000000000005,112.89319087051096,0.0,377.9726268105416,45.817664250000014,390.0045822045825,208.61508763975218,377.98536479504133,45.8022146591163,389.48822785374176,138.20958001749955,380.56634446094273,172.27912054225246,381.6462936985523,19.078836598012806,365.432836383358,60.1292284302541,384.29083547834165,187.69172593954198,390.66150921304234,133.35515905899962,0.07956442911584438,0.13907387383226322,0.46480841332382583,-0.1380637771742026,0.0613565608049724,0.06947565757864597,0.39117025684857254,0.5626317970685518,0.6026089537056212,-0.1357889630632152,0.5504054082982139,0.5979458929548044,37.773726827591815,9.42337797008839,0.05112839882518339,True
Ausgrid 156,495.56604497429834,446.2928413930854,495.11204848279334,5853.852,5340.342590960843,6152.853080541735,712.1859999999999,60.373935205300015,891.1630212811639,445.96021222499843,421.448405950198,24.511806274800005,196.52963812490435,0.33262916808693554,8.326,138.54128422388408,494.7739603368002,469.3024186476997,25.471541689499997,196.52963812490435,0.33808814599315035,8.326,120.79348526577819,0.0,460.88465958744143,62.57139699999982,472.45907861408296,244.5222704768014,460.90245621684136,62.54185734831549,474.6880657798722,162.53053050000153,464.75320552204363,204.81664029300276,476.5910724717644,21.94270791293437,451.390452671921,80.69192102205957,460.7604185572418,204.26779197728038,472.0112425886427,157.3811972565011,0.1056029259754181,0.1931024725417858,0.44236943317375765,-0.16814888296264696,0.08127958242982167,0.09532430664978328,0.5719560277795311,0.8396244597441361,0.6927180569227832,-0.662693218207661,0.7183640056823426,0.5813060046978109,48.81920708970796,9.942812684789255,0.09161170263966344,True
Ausgrid 180,274.4859912251997,229.98243276658124,277.31304474380573,3270.559,2775.6962342492466,3464.162729835748,1022.7570000000001,394.45077707870007,1084.9739550973027,229.8960228580995,214.4726160847991,15.4234067739,147.30152575219597,0.08640990848173291,5.102,131.00505277633297,277.27008419239723,255.33129630879696,21.938787883699984,147.30152575219597,0.04296055140852344,5.376,128.50671340962026,0.0,228.02433171574307,84.98097475000002,249.1933064208835,176.7554988700002,228.4539296657432,84.49004990288313,250.84734850964338,137.86117528000042,242.03551998734284,176.22819717851016,261.63293640752704,26.503550042905488,229.32831718976684,84.82642302731506,249.6525498029423,155.8672775988441,251.6119266677429,135.04038902800033,0.10327688879717464,0.19975441772070945,0.5156360065631049,-0.17730758532174362,0.062414745661307856,0.06966028361151737,0.3478377416878635,0.5315210629705134,0.7613183314246235,-0.1757573368376495,0.7751238466446456,0.4448144565936968,47.33061197722449,16.21341703449846,-1.029944554178209,True
Ausgrid 21,693.419541878801,659.3221759327116,697.7914030461964,8193.731,8030.793345639132,8631.49734647775,321.28099999999995,16.40376265500002,629.4285917199617,659.0373943948015,636.2024613864018,22.8349330084,237.2693594355162,0.2847815379101364,7.41,141.54051842553082,697.6384799926999,672.4274032838006,25.2110767088,237.2693594355162,0.15292305349646473,7.62692842,128.03524549800613,0.0,676.7609931194434,29.375610249999973,682.2983195307878,225.61135844999998,676.7609931194434,29.375610249999973,686.1747961344491,156.5264323999997,676.1304379692457,181.19424802499992,677.1072513665342,16.915866332110006,666.2459614969856,40.953265620974264,676.9910018677448,221.3796487949635,685.9263616561457,153.41855138,0.09527085338789656,0.18449876114122452,0.5939701978029457,-0.16470636559241192,0.07539630780142356,0.06979354625987576,0.6933723693453272,0.9461894803983318,0.6546942159105006,-0.02959424470388128,0.6033696826849098,1.0328144355352655,38.46922711348475,4.917277908508833,-0.6304785059200773,True
Ausgrid 290,397.403433106,367.63587450304175,399.6843601427864,4534.246,4401.1669736490485,4889.79205377555,274.671,25.482264369400017,530.4534868268549,367.6724960416986,344.08361332109945,23.5888827204,182.3355448582965,-0.03662153865683782,7.886,112.71583579017769,399.5647420428001,373.387020929099,26.177721113300002,182.3355448582965,0.11961809998625841,7.886,98.56661185461512,0.0,383.50951052754135,25.169057750000007,394.65090957918375,213.9752865000001,383.50951052754135,25.169057750000007,390.1236853808582,140.90173179999994,383.7149714006434,171.25469476410552,378.73213447151693,14.937892694021983,372.95372439257864,35.73835545589989,382.966762757642,182.57550227368733,388.0118446775427,137.65698839999988,0.0798630598212966,0.14497017842034446,0.53405670954886,-0.23533814454747226,0.05510043591491854,0.06148971289094599,0.3746286309533978,0.6166716889168476,0.589230260323011,0.05365710816831171,0.31756489268348287,0.4379817406511955,32.04848563974463,7.490513700473827,-0.5739575571753948,True
Ausgrid 66,172.72938397050103,129.36652609034562,162.28822474357187,2171.043,1637.3358247199155,2145.354818305957,1009.2339999999999,366.61240505079763,886.0776412167952,129.2205537223004,116.56784559050035,12.6527081316,97.77809370140274,0.14597236804522618,4.126,107.78270171730404,162.04651995480145,147.85861987260063,14.187900081999999,97.77809370140274,0.24170478877041673,4.126,97.71925235029016,0.0,130.31497576394358,80.03942649999928,149.05521130848425,172.98747706400587,130.4998957492437,79.85264791816091,149.4418858004953,125.67915354962747,135.78707337704367,165.24097703374235,148.56656032914762,26.947801180000077,122.77601731642082,81.27959274048702,148.66095911494318,137.55469324950866,148.57938636904333,128.87266697716865,0.09843663261503294,0.18686639257524995,0.4795359498142808,-0.23906666279801936,0.0686754904419229,0.07688181429302968,0.20693777544179143,0.30947691027934565,0.6124206466688332,-0.1558182321054462,0.16095183382205017,0.26665102776284433,32.92169865322626,25.10450560488364,6.04480777208834,True
Ausgrid 240,250.8167193189003,229.02152078265684,272.054705064444,3184.9710000000005,2721.45195647705,3396.578115696404,821.888,248.49286494179216,936.7330527697794,228.9672380953997,206.75381796189973,22.21342013289999,89.91636163890851,0.05428268725714147,4.226,107.6764162011943,271.71173070700064,246.7205162136999,24.991214493099985,89.91636163890851,0.342974357443403,3.696,98.18354847006101,0.0,214.35573138144346,67.97477850000001,235.18038014802934,134.58783326999966,214.41206195684344,67.72060919179093,234.04652649415326,112.07953415999961,223.89471789104428,144.7179506671997,233.36733786661685,30.561002336860412,210.8639396953464,72.67900961205844,234.51141211490707,106.54294701528195,231.98949986214473,108.23983304999997,0.08145041226863796,0.14522107292300154,0.5272101172364717,-0.31373084006906193,0.06483631614742477,0.06971388809753339,0.34028557051604824,0.4777784842405006,0.8020843574450691,-1.1817679840563797,0.600745245640354,0.43765832981450503,43.033184281787186,8.689691259589447,-8.467531910638192,True
Ausgrid 113,377.151239213101,321.7236771874201,360.64926170990094,4569.722,4016.7292102139268,4591.042446405092,768.287,71.85606778602502,672.7654606422964,321.60147000920045,314.45924604470014,7.1422239647,123.86789625330225,0.12220717821962473,5.358,141.15078658064036,360.4683105999017,350.28309456830203,10.185216031100001,123.86789625330225,0.18095110999922806,4.8084693,115.90500569171418,0.0,338.5205509551449,69.38438150000005,353.2655076047848,243.7033892500007,338.5316803930449,69.36596428543727,354.31271491214454,157.9003986500002,341.8363423180455,202.45084757600057,355.03348867774423,21.119296557631994,325.8398118209818,81.52021628122652,348.2916519118448,207.47971076837402,351.43830634024494,154.12395070549985,0.11019351393722276,0.19505099513381577,0.47318298497947625,-0.14094207333845277,0.09694635204777033,0.11816217394039825,0.31167273781893506,0.44933695159103254,0.46739393894105047,0.07052046595837458,0.37560888170978995,0.3888861479156169,38.92558452248085,14.696375422582872,4.375427093287631,True
Ausgrid 67,321.95906605619996,224.64905416178388,277.6981673963943,4470.205,3032.8973336706435,3795.5099677060643,2399.488,766.5524867971426,1541.5186622971828,224.313525959,216.36794403960002,7.945581919600002,110.12566780249358,0.33552820278388196,4.4559999999999995,194.4295855344123,277.3805014326999,265.1263274419999,12.254173990999998,110.12566780249358,0.31766596369442496,4.4559999999999995,182.18955454325246,0.0,221.96438903494368,177.70860800000028,276.4090331838787,283.28155316000027,225.09970572484337,172.41262497675459,276.1225911779444,193.59116798042356,248.78191082654334,260.3913172528498,294.1567354391585,33.138950676372914,245.01223806946433,133.03172943882794,288.72695604864316,211.833597386269,274.45805673154376,185.49229787850032,0.23869310955813916,0.40587909912739445,0.45124277848739297,-0.10864297038847348,0.2092085147670216,0.22127774982731543,0.286621795830487,0.3970806891353592,0.3744969491999403,0.14324592081527698,0.2802343838243035,0.2921953249824256,53.04911323461042,30.22434282916885,13.747368322928246,True
