scenario,household_id,interval_minutes,pv_scale,scheme,paket_id,contracted_power_kw,total_consumption_kwh,total_generation_kwh,total_imported_kwh,total_exported_kwh,peak_import_kw,energy_eur,power_eur,fixed_eur,credit_eur,total_cost_eur,segment,has_pv,battery_kwh,dataset,Actual_Load_kWh,Actual_PV_kWh,Scenario,role,neto_eur,ddv_eur,bruto_eur,dobropis_eur,fiksni_del_eur,spremenljivi_del_eur,prevzeto_kwh,oddano_kwh,deljeno_kwh,neizrabljeno_kwh,lastna_raba_kwh
redni,Fluvius_PV_EV_002,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,4.069333333333334,2413.6889999998957,626.6129999999883,2405.5539999999,618.477999999994,6.104,331.3332951922126,3.7263938320000003,174.57340180327768,33.33596419999987,509.63309082754887,Fluvius_PV_EV,True,0.0,Fluvius_PV_EV,2413.6890000000003,626.613,Redni,,,,,,,,,,,,
redni,Fluvius_PV_EV_003,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,9.816,4887.888999999985,2668.0290000000227,4811.147999999958,2591.288000000008,14.724,587.1340380862061,15.359890728,400.6368685148184,139.67042319999973,1003.1307973288107,Fluvius_PV_EV,True,0.0,Fluvius_PV_EV,4887.889,2668.0289999999995,Redni,,,,,,,,,,,,
redni,Fluvius_PV_EV_004,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,3.669333333333333,2661.913999999971,2084.536999999996,2574.9979999999746,1997.621000000002,5.504,281.65481541879694,3.1548162379999996,158.83812628941965,107.67177190000073,443.6477579462996,Fluvius_PV_EV,True,0.0,Fluvius_PV_EV,2661.9139999999998,2084.537,Redni,,,,,,,,,,,,
redni,Fluvius_PV_EV_005,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,5.256,3991.5120000000047,2744.1910000000257,3939.1149999999893,2691.793999999997,7.884,451.4630765797948,4.5903894119999995,221.25472087095625,145.08769660000013,677.3081868628017,Fluvius_PV_EV,True,0.0,Fluvius_PV_EV,3991.5119999999997,2744.191,Redni,,,,,,,,,,,,
redni,Fluvius_PV_EV_006,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,5.448,6273.364999999944,3680.4200000000033,6187.554999999889,3594.6099999999915,8.172,740.7134588672008,7.993422612,228.80765377423415,193.74947900000046,977.5145352535053,Fluvius_PV_EV,True,0.0,Fluvius_PV_EV,6273.365,3680.42,Redni,,,,,,,,,,,,
redni,Fluvius_PV_EV_007,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,6.925333333333334,4892.77000000001,3812.7160000000185,4797.338000000002,3717.283999999999,10.388,525.7007444977944,14.232682533999998,286.92327448830844,200.3616075999999,826.8567015201085,Fluvius_PV_EV,True,0.0,Fluvius_PV_EV,4892.7699999999995,3812.716,Redni,,,,,,,,,,,,
redni,Fluvius_PV_EV_008,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,4.501333333333333,2897.076999999963,2451.230000000021,2849.4309999999646,2403.5840000000094,6.752,299.59540386699814,2.24118041,191.5675003411038,129.55317760000023,493.40408461809875,Fluvius_PV_EV,True,0.0,Fluvius_PV_EV,2897.077,2451.23,Redni,,,,,,,,,,,,
redni,Fluvius_PV_EV_009,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,5.570666666666667,7580.561000000041,1455.4989999999962,7481.754999999996,1356.692999999999,8.356,1055.5673666144055,9.951219571999998,233.63313904138363,73.12575270000004,1299.1517252279061,Fluvius_PV_EV,True,0.0,Fluvius_PV_EV,7580.561,1455.4989999999998,Redni,,,,,,,,,,,,
redni,Fluvius_PV_EV_010,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,6.173333333333333,1950.1389999999897,4541.649000000032,1888.5630000000097,4480.073000000018,9.26,45.54273221579996,11.372748547999999,257.3409552419138,241.47593470000118,314.2564360056951,Fluvius_PV_EV,True,0.0,Fluvius_PV_EV,1950.1390000000001,4541.649,Redni,,,,,,,,,,,,
redni,Fluvius_PV_HP_001,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,6.168,3397.8287324999988,243.37793904990016,3397.8287324999988,243.37793904990016,6.168000000000001,501.3535365795983,0.0,257.13115121592165,13.118070914799999,758.4846877955284,Fluvius_PV_HP,True,30.0,Fluvius_PV_HP,5029.903,2038.6170000000002,Redni,,,,,,,,,,,,
redni,Fluvius_PV_HP_002,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,4.653333333333333,3225.425614982008,7.335839340000002,3225.425614982008,7.335839340000002,4.653333332,485.768591896299,0.0,197.5469052370152,0.3954017404,683.3154971331393,Fluvius_PV_HP,True,30.0,Fluvius_PV_HP,4771.084,1709.3,Redni,,,,,,,,,,,,
redni,Fluvius_PV_HP_003,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,4.733333333333333,4514.560399933762,112.54194738025002,4514.560399933762,112.54194738025002,6.236,675.7202206422013,0.0038656100000000002,200.69396035887377,6.066010963799998,876.4180466110181,Fluvius_PV_HP,True,30.0,Fluvius_PV_HP,5332.7119999999995,1014.374,Redni,,,,,,,,,,,,
redni,Fluvius_PV_HP_004,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,5.882666666666666,2811.6117400120056,13.2419169082,2811.6117400120056,13.2419169082,5.882666680000001,426.4094666144052,1.5299999999999998e-08,245.90665445969913,0.7137393212,672.3161210894796,Fluvius_PV_HP,True,30.0,Fluvius_PV_HP,3270.0019999999995,518.0649999999999,Redni,,,,,,,,,,,,
redni,Fluvius_PV_HP_005,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,4.192,1659.97877749994,1843.6142880899997,1659.97877749994,1843.6142880899997,4.192,152.99909258169944,0.0,179.3988864944241,99.37081012910016,332.3979790762776,Fluvius_PV_HP,True,30.0,Fluvius_PV_HP,2915.105,3225.209,Redni,,,,,,,,,,,,
redni,Fluvius_PV_HP_006,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,3.469333333333333,3408.882999999947,1955.61699999999,3344.5959999999686,1891.3299999999956,5.204,404.3123823641946,3.5661019240000003,150.97048776942557,101.94268699999938,558.8489720576995,Fluvius_PV_HP,True,0.0,Fluvius_PV_HP,3408.8830000000003,1955.617,Redni,,,,,,,,,,,,
redni,Fluvius_PV_HP_007,15.0,1.0,si_samooskrba,GENI_SAMO_REDNI,3.656,2433.144999999875,2511.131000000003,2354.992999999891,2432.979000000002,5.484,228.90999726839792,6.031119234,158.31361695378277,131.13756810000027,393.25473345620986,Fluvius_PV_HP,True,0.0,Fluvius_PV_HP,2433.145,2511.1310000000003,Redni,,,,,,,,,,,,
