Dataset,Household,Tariff,Capacity_kWh,Power_kW,Cost_EUR,Netting_Credit_EUR,Charged_kWh,Discharged_kWh,Stored_Out_kWh,Grid_Charged_kWh,Import_kWh,Export_kWh,Curtailed_kWh,Peak_Import_kW,Equivalent_Full_Cycles,EFC_AC_Legacy,N_Steps,First_Step,Last_Step,Contracted_Power_kW,Solve_s
Fluvius_PV,283,Aktivni,4.0,2.0,295.84451311521,0.0,1650.37149006046,1489.4602683116054,1567.8529140122164,626.6984242014698,2046.2311883898658,1612.9609666410113,0.0,3.4266666800000003,391.96322869620667,372.36506707790136,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,23.73694682121277
Fluvius_PV,283,Aktivni,5.0,2.5,266.4672616326016,0.0,1999.73412884974,1804.7600474927033,1899.7474184133719,861.5648216169999,2121.4767091242984,1654.1436277672617,0.0,3.4266666800000003,379.94948408206244,360.95200949854063,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,26.227370977401733
Fluvius_PV,283,Aktivni,6.0,3.0,242.47741480349015,0.0,2319.5513684957,2093.395111648604,2203.573801735373,1106.846649294,2265.279487645398,1766.764230798302,0.0,3.4266666800000003,367.26230015052397,348.8991852747674,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,25.552288055419922
Fluvius_PV,283,Aktivni,7.5,3.75,213.8169365088893,0.0,2746.0298768855,2478.2919574862026,2608.728376301266,1476.8348842859,2571.3873517997,2031.2904324004026,0.0,3.4266666800000003,347.8304506228327,330.438927664827,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,26.172322988510132
Fluvius_PV,283,Aktivni,10.0,5.0,173.31699518199693,0.0,3424.5921199236,3090.6943558165035,3253.362479806846,2087.962157701,3140.8483168845,2534.591552777403,0.0,3.4266668000000005,325.3362496867133,309.06943558165034,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,25.742902994155884
Fluvius_PV,283,Aktivni,12.5,6.25,134.19932726810626,0.0,4082.1132288474,3684.1071449879432,3878.0075210399405,2641.8511356885,3679.8695057005616,3009.504421841104,0.0,3.4266668000000005,310.2406035377988,294.72857159903543,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,27.13930916786194
Fluvius_PV,283,Aktivni,15.0,7.5,95.5570879301807,0.0,4731.0400241721,4269.763569151604,4494.487967528004,3149.0543039778,4180.9162498262,3447.280794805705,0.0,3.4266668000000005,299.6325330163833,284.650904610107,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,27.4596951007843
Fluvius_PV,283,Aktivni,20.0,10.0,19.38124903388252,0.0,6015.686588368,5429.157077691307,5714.902187043481,4324.182098955,5351.8872822937,4492.998771617006,0.0,3.6147264000000003,285.74511114982704,271.45785388456534,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,30.086518049240112
Fluvius_PV,283,Aktivni,25.0,11.0,-57.79724643798721,0.0,7294.7685721857,6583.5286277946,6930.030134520632,5593.6190287983,6623.4230288037,5639.8240844126,0.0,6.245228000000001,277.2012055619409,263.341145111784,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,31.805084943771362
Fluvius_PV,283,Redni + NM,0.0,0.0,268.4859993939498,381.23752940400095,0.0,0.0,0.0,0.0,2677.977,2405.618,0.0,5.14,0.0,0.0,35136.0,2024-01-01 00:00:00+00:00,2024-12-31 23:45:00+00:00,3.4266666666666663,9.451817989349365
