config,scheme,sharing,share,internal_price,battery,znacilni_primer,pay_for_unused,Scenario,Scheme,Sharing,Share,Internal_price,Community_cost_EUR,Shared_kWh,Transferred_kWh,Wasted_kWh,Import_kWh,Export_kWh,Curtailed_kWh,Peak_Import_kW,Sum_Peaks_kW,Solve_s,Lazy_rounds,Binaries,Unresolved,block,Battery_kWh
Redni,souporaba,staticni,0.6,0.05,brez baterije,2,True,,souporaba,staticni,0.6,0.05,17429.08807288971,5763.306370738933,13417.0482,7653.741829261066,90915.52,22361.747000000003,0.0,12.028,114.512,21.650557279586792,0.0,0.0,0.0,C,0.0
Redni,souporaba,staticni,0.8,0.05,brez baterije,2,True,,souporaba,staticni,0.8,0.05,17607.40615387761,6581.211806427089,17889.397600000004,11308.185793572911,90915.52,22361.747000000003,0.0,12.028,114.512,21.80814743041992,0.0,0.0,0.0,C,0.0
Redni,souporaba,staticni,1.0,0.05,brez baterije,2,True,,souporaba,staticni,1.0,0.05,17738.377075367927,7079.305588883521,14071.017063875184,6991.711474991664,90915.52,14071.017063875184,8290.72993567893,12.028,114.512,22.309117078781128,0.0,0.0,0.0,C,0.0
Redni,skupnostna_samooskrba,staticni,0.0,0.05,brez baterije,2,True,,skupnostna_samooskrba,staticni,0.0,0.05,16591.99978263159,0.0,0.0,0.0,90915.52,22361.747000000003,0.0,12.028,114.512,19.720855712890625,0.0,0.0,0.0,C,0.0
Redni,skupnostna_samooskrba,staticni,0.1,0.05,brez baterije,2,True,,skupnostna_samooskrba,staticni,0.1,0.05,16441.11738889661,1844.465679047722,1844.465679047722,2.5411259468172128e-15,90915.52,22361.747000000003,0.0,12.028,114.512,21.79680323600769,0.0,0.0,0.0,C,0.0
Redni,skupnostna_samooskrba,staticni,0.2,0.05,brez baterije,2,True,,skupnostna_samooskrba,staticni,0.2,0.05,16339.48350172133,3087.8044365785386,3087.8044365785386,2.1369895870232418e-15,90915.52,22361.747000000003,0.0,12.028,114.512,21.718772888183594,0.0,0.0,0.0,C,0.0
Redni,skupnostna_samooskrba,staticni,0.3,0.05,brez baterije,2,True,,skupnostna_samooskrba,staticni,0.3,0.05,16266.543550881206,3982.229617811018,3982.229617811018,-2.4906156781065447e-15,90915.52,22361.747000000003,0.0,12.028,114.512,21.946789503097538,0.0,0.0,0.0,C,0.0
Redni,skupnostna_samooskrba,staticni,0.4,0.05,brez baterije,2,True,,skupnostna_samooskrba,staticni,0.4,0.05,16209.466540285071,4683.4744985987845,4683.474498598784,2.2728807768171433e-15,90915.52,22361.747000000003,0.0,12.028,114.512,21.63930034637451,0.0,0.0,0.0,C,0.0
Redni,skupnostna_samooskrba,staticni,0.5,0.05,brez baterije,2,True,,skupnostna_samooskrba,staticni,0.5,0.05,16162.149169089533,5265.682466550534,5265.682466550534,1.7607849856979274e-15,90915.52,22361.747000000003,0.0,12.028,114.512,21.640914916992188,0.0,0.0,0.0,C,0.0
Redni,skupnostna_samooskrba,staticni,0.6,0.05,brez baterije,2,True,,skupnostna_samooskrba,staticni,0.6,0.05,16121.761313946983,5763.306370738933,5763.306370738933,4.3322414882904225e-15,90915.52,22361.747000000003,0.0,12.028,114.512,21.756154537200928,0.0,0.0,0.0,C,0.0
Redni,skupnostna_samooskrba,staticni,0.8,0.05,brez baterije,2,True,,skupnostna_samooskrba,staticni,0.8,0.05,16055.474752989663,6581.211806427089,6581.211806427089,-7.950142822711614e-15,90915.52,22361.747000000003,0.0,12.028,114.512,21.77835249900818,0.0,0.0,0.0,C,0.0
