Dataset,Household,Paket_ID,Cost_EUR,Energy_EUR,Fixed_EUR,Excess_Power_EUR,Import_kWh,Agreed_Power
Fluvius,5,BISOL_FIKSNI_VEZAVA,201.27382099940004,113.22295188940004,70.580157754,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius,5,ELEN_DINAMICNA,212.04127282410002,116.2314211008,78.3391403673,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius,5,ELEN_FIKSNI,206.1695041784,124.70645052539999,63.992342297,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius,5,ELEN_ZANESLJIVA,201.69209197840001,120.22903832540001,63.992342297,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius,5,GENI_AKTIVNI,196.39499188660002,117.71346054540001,61.2108199852,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius,5,GENI_DINAMICNI,209.25975110740004,116.2314211008,75.5576186506,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius,5,GENI_FIKSNI,198.91056966660003,120.22903832540001,61.2108199852,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius,5,GENI_REDNI,194.4331574666,115.7516261254,61.2108199852,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius,5,PETROL_AKCIJSKI,209.93483324259998,116.76010752739998,75.70401435919999,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius,5,PETROL_FIKS2026,212.55305572260002,119.37833000740004,75.70401435919999,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius,5,PETROL_REDNI,217.09869276259997,123.92396704739997,75.70401435919999,17.470711356000002,734.002,prev1m_cyclic_unbounded
Fluvius_EV,1,BISOL_DINAMICNI,694.2987073037999,509.73892317779996,177.069675024,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,BISOL_DINAMICNI_PLUS,718.1612394467,509.73892317779996,200.9322071669,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,BISOL_FIKSNI,723.9419717587999,539.3821876328,177.069675024,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,BISOL_FIKSNI99,663.3454245388,478.7856404128,177.069675024,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,BISOL_FIKSNI_VEZAVA,681.0810147188,496.52123059280007,177.069675024,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,ELEN_DINAMICNA,685.9557893885,493.63702237079997,184.8286579157,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,ELEN_FIKSNI,724.8380377162,546.8660687688,170.4818598454,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,ELEN_ZANESLJIVA,705.3557845162,527.3838155688,170.4818598454,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,GENI_AKTIVNI,682.3125522244001,507.1221055888001,167.70033753360002,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,GENI_DINAMICNI,683.1742676719,493.63702237079997,182.0471361991,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,GENI_FIKSNI,702.5742622044,527.3838155688,167.70033753360002,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,GENI_REDNI,683.0920090044,507.9015623688,167.70033753360002,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,PETROL_AKCIJSKI,701.5958516305,511.91221062079995,182.19353190770002,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,PETROL_FIKS2026,713.3658284705001,523.6821874608,182.19353190770002,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,1,PETROL_REDNI,732.7674567505001,543.0838157408,182.19353190770002,7.490109102000001,3193.812,prev1m_cyclic_unbounded
Fluvius_EV,2,BISOL_DINAMICNI,1704.2079198642002,1459.937297398,233.5413874742,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,2,BISOL_DINAMICNI_PLUS,1728.0704514118001,1459.937297398,257.4039190218,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,2,BISOL_FIKSNI,1853.5496086790001,1609.2789862128,233.5413874742,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,2,BISOL_FIKSNI99,1681.2576816590001,1436.9870591928,233.5413874742,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,2,BISOL_FIKSNI_VEZAVA,1719.045551739,1474.7749292728,233.5413874742,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,2,ELEN_DINAMICNA,1679.5359370221,1427.5063319426,241.3003700875,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,2,ELEN_FIKSNI,1863.2997051104,1625.6168983988,226.9535717196,10.729234992000006,10022.657,prev1m_cyclic_unbounded
Fluvius_EV,2,ELEN_ZANESLJIVA,1802.1614974104002,1564.4786906988002,226.9535717196,10.729234992000006,10022.657,prev1m_cyclic_unbounded
