Dataset,Household,Option,Paket_ID,Variant,Cost_EUR,Energy_EUR,Fixed_EUR,Excess_Power_EUR,Import_kWh,Agreed_Power,Per_Group
Fluvius,2,PETROL_AKCIJSKI@1T,PETROL_AKCIJSKI,1T,602.8046206892001,402.330747464,194.5902402252,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,PETROL_FIKS2026@2T,PETROL_FIKS2026,2T,613.6604246892001,413.1865514640001,194.5902402252,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,PETROL_FIKS2026@1T,PETROL_FIKS2026,1T,612.0035914892001,411.529718264,194.5902402252,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,PETROL_REDNI@2T,PETROL_REDNI,2T,628.8414214892,428.367548264,194.5902402252,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,2,PETROL_REDNI@1T,PETROL_REDNI,1T,627.3352094892001,426.8613362640001,194.5902402252,5.8836330000000014,2513.38,prev1m_cyclic_unbounded,5
Fluvius,3,BISOL_DINAMICNI,BISOL_DINAMICNI,-,641.9243073373,451.6300343794,184.4280705459,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,BISOL_DINAMICNI_PLUS,BISOL_DINAMICNI_PLUS,-,665.7868397777,451.6300343794,208.2906029863,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,BISOL_FIKSNI@2T,BISOL_FIKSNI,2T,670.6733660457002,480.37909308780013,184.4280705459,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,BISOL_FIKSNI@1T,BISOL_FIKSNI,1T,672.9590726457001,482.66479968780004,184.4280705459,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,BISOL_FIKSNI99@2T,BISOL_FIKSNI99,2T,617.0939465057,426.7996735478,184.4280705459,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,BISOL_FIKSNI99@1T,BISOL_FIKSNI99,1T,610.0742190057,419.7799460478,184.4280705459,5.866202412,2863.609,prev1m_cyclic_unbounded,5
Fluvius,3,BISOL_FIKSNI_VEZAVA@2T,BISOL_FIKSNI_VEZAVA,2T,632.2437332657,441.9494603078,184.4280705459,5.866202412,2863.609,prev1m_cyclic_unbounded,5
